account_id;date;amount;duration;payments;frequency;account_year;account_month;account_day;disp_id;disp_type;gender;birth_year;birth_month;birth_day;inhabitants;less499;less1999;less9999;more10000;cities;ratioUrb;salary;unemploymant95;unemploymant96;enterpreneurs;crime95;crime96;last_balance;balance_m1_min;balance_m1_max;balance_m1_mean;balance_m1_std;num_trans_m1;balance_m3_min;balance_m3_max;balance_m3_mean;balance_m3_std;num_trans_m3;balance_m6_min;balance_m6_max;balance_m6_mean;balance_m6_std;num_trans_m6;balance_y1_min;balance_y1_max;balance_y1_mean;balance_y1_std;num_trans_y1;balance_all_min;balance_all_max;balance_all_mean;balance_all_std;num_trans;credit_m1_min;credit_m1_max;credit_m1_mean;credit_m1_std;credit_m1_sum;credit_m3_min;credit_m3_max;credit_m3_mean;credit_m3_std;credit_m3_sum;credit_m6_min;credit_m6_max;credit_m6_mean;credit_m6_std;credit_m6_sum;credit_y1_min;credit_y1_max;credit_y1_mean;credit_y1_std;credit_y1_sum;credit_all_min;credit_all_max;credit_all_mean;credit_all_std;credit_all_sum;withdrawal_m1_min;withdrawal_m1_max;withdrawal_m1_mean;withdrawal_m1_std;withdrawal_m1_sum;withdrawal_m3_min;withdrawal_m3_max;withdrawal_m3_mean;withdrawal_m3_std;withdrawal_m3_sum;withdrawal_m6_min;withdrawal_m6_max;withdrawal_m6_mean;withdrawal_m6_std;withdrawal_m6_sum;withdrawal_y1_min;withdrawal_y1_max;withdrawal_y1_mean;withdrawal_y1_std;withdrawal_y1_sum;withdrawal_all_min;withdrawal_all_max;withdrawal_all_mean;withdrawal_all_std;withdrawal_all_sum;age;status
1787;930705;96396;12;8033;2;1993;3;22;2166;0;1;1947;7;22;85930.6;40.9;16.1;5.3;1.3;6.9;65.69;9015.4;2.138;2.646;111.7;2476.9;2586.3;20100.0;20100.0;20100.0;20100.0;0.0;1.0;11000.0;20100.0;15966.666666666666;4606.878914550863;3.0;1100.0;20100.0;12250.0;8330.8663014919;4.0;1100.0;20100.0;12250.0;8330.8663014919;4.0;1100.0;20100.0;12250.0;8330.8663014919;4.0;3300.0;3300.0;3300.0;0.0;3300.0;3300.0;9900.0;6333.333333333333;3332.1664624285104;19000.0;1100.0;9900.0;5025.0;3774.8068383251966;20100.0;1100.0;9900.0;5025.0;3774.8068383251966;20100.0;1100.0;9900.0;5025.0;3774.8068383251966;20100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46;-1
1801;930711;165960;36;4610;0;1993;2;13;2181;0;0;1968;7;22;112252.81818181818;64.0909090909091;26.454545454545453;6.0;1.9090909090909092;7.818181818181818;62.945454545454545;8611.181818181818;2.3663636363636362;2.983636363636364;116.45454545454545;2765.4545454545455;2786.0;52208.9;23795.0;55627.9;33113.78888888889;12180.41879764859;9.0;23795.0;120512.8;56036.57586206896;27131.322893602086;29.0;700.0;120512.8;52083.859459459454;29122.059453945632;37.0;700.0;120512.8;52083.859459459454;29122.059453945632;37.0;700.0;120512.8;52083.859459459454;29122.059453945632;37.0;127.5;29171.0;13134.5;14756.850129685536;39403.5;127.5;35707.0;15649.766666666666;15145.858469892026;140847.9;2.9;36574.0;13523.158823529411;13998.092225373912;229893.69999999998;2.9;36574.0;13523.158823529411;13998.092225373912;229893.69999999998;2.9;36574.0;13523.158823529411;13998.092225373912;229893.69999999998;14.6;6600.0;2542.766666666667;2636.0434455195664;15256.6;14.6;54300.0;8884.240000000002;14074.800607969735;177684.80000000002;14.6;54300.0;8884.240000000002;14074.800607969735;177684.80000000002;14.6;54300.0;8884.240000000002;14074.800607969735;177684.80000000002;14.6;54300.0;8884.240000000002;14074.800607969735;177684.80000000002;25;1
9188;930728;127080;60;2118;0;1993;2;8;11006;0;0;1936;6;2;112252.81818181818;64.0909090909091;26.454545454545453;6.0;1.9090909090909092;7.818181818181818;62.945454545454545;8611.181818181818;2.3663636363636362;2.983636363636364;116.45454545454545;2765.4545454545455;2786.0;20272.8;20272.8;47745.8;36233.06666666667;8349.782894782356;9.0;20272.8;49590.4;35160.92941176471;7836.311391270506;17.0;800.0;49590.4;30060.954166666666;11520.184451043693;24.0;800.0;49590.4;30060.954166666666;11520.184451043693;24.0;800.0;49590.4;30060.954166666666;11520.184451043693;24.0;105.6;12710.0;4318.466666666666;7267.301161595914;12955.4;80.4;19065.0;5014.055555555556;7585.8964663233955;45126.5;48.6;19065.0;5009.733333333334;6801.234716228965;75146.0;48.6;19065.0;5009.733333333334;6801.234716228965;75146.0;48.6;19065.0;5009.733333333334;6801.234716228965;75146.0;66.0;12000.0;4578.833333333333;4741.139205577776;27473.0;66.0;14800.0;6559.125;5568.910214947163;52473.0;66.0;14800.0;6097.0;5390.565972140588;54873.0;66.0;14800.0;6097.0;5390.565972140588;54873.0;66.0;14800.0;6097.0;5390.565972140588;54873.0;57;1
1843;930803;105804;36;2939;0;1993;1;30;2235;0;1;1940;4;20;92102.83333333333;62.666666666666664;26.666666666666668;4.666666666666667;1.5833333333333333;5.5;52.44166666666666;9357.25;2.4641666666666664;2.8783333333333334;129.75;3385.3333333333335;3620.5833333333335;34307.3;34129.2;56923.2;42535.13333333333;9772.989272820607;6.0;34129.2;65898.5;46378.6375;10524.400232467722;16.0;18632.0;65898.5;42976.541666666664;11636.986168095642;24.0;1000.0;65898.5;41297.48;14151.260443037103;25.0;1000.0;65898.5;41297.48;14151.260443037103;25.0;178.1;17632.0;8905.05;12341.77104815188;17810.1;155.8;26448.0;10374.533333333335;11623.961593478647;62247.200000000004;132.8;26448.0;9942.483333333334;9922.610448395426;119309.8;132.8;26448.0;9254.600000000002;9818.59121827906;120309.80000000002;132.8;26448.0;9254.600000000002;9818.59121827906;120309.80000000002;14.6;11500.0;5702.15;4816.575224160835;22808.6;14.6;15600.0;6521.719999999999;5105.815646408623;65217.2;14.6;15600.0;7168.100000000001;4919.096434028584;86017.20000000001;14.6;15600.0;7168.100000000001;4919.096434028584;86017.20000000001;14.6;15600.0;7168.100000000001;4919.096434028584;86017.20000000001;53;1
11013;930906;274740;60;4579;2;1993;2;14;13231;0;0;1978;9;7;1204953.0;0.0;0.0;0.0;1.0;1.0;100.0;12541.0;0.29;0.43;167.0;85677.0;99107.0;41112.9;40960.1;83659.1;49872.75714285715;15764.526577399143;7.0;40960.1;122893.1;60804.54705882353;25206.26907869642;17.0;35844.0;122893.1;59364.680769230756;23030.406172154573;26.0;600.0;122893.1;57188.21111111111;25256.665816714198;27.0;600.0;122893.1;57188.21111111111;25256.665816714198;27.0;182.8;42244.0;21213.4;29741.759744843614;42426.8;182.8;63366.0;24749.983333333334;27961.16129837362;148499.9;77.1;63366.0;22977.25833333333;24500.113288400724;275727.1;77.1;63366.0;21255.930769230767;24264.22977953297;276327.1;77.1;63366.0;21255.930769230767;24264.22977953297;276327.1;30.0;28500.0;8697.0;11693.528039047924;43485.0;30.0;36700.0;15174.0;14123.782432478914;166914.0;30.0;36700.0;16801.0;13981.92493625527;235214.0;30.0;36700.0;16801.0;13981.92493625527;235214.0;30.0;36700.0;16801.0;13981.92493625527;235214.0;15;1
8261;930913;87840;24;3660;0;1993;5;12;9892;0;1;1980;2;16;92102.83333333333;62.666666666666664;26.666666666666668;4.666666666666667;1.5833333333333333;5.5;52.44166666666666;9357.25;2.4641666666666664;2.8783333333333334;129.75;3385.3333333333335;3620.5833333333335;43847.8;43847.8;65847.8;60175.524999999994;10886.530983245611;4.0;42707.0;65847.8;57893.07500000001;9343.92966613522;12.0;500.0;65847.8;46318.55294117647;20670.97738216307;17.0;500.0;65847.8;46318.55294117647;20670.97738216307;17.0;500.0;65847.8;46318.55294117647;20670.97738216307;17.0;148.8;21959.0;7459.333333333333;12557.226388551468;22378.0;127.9;32938.0;8664.8;13104.52469731352;77983.2;51.3;32938.0;7331.9857142857145;11713.859081897368;102647.8;51.3;32938.0;7331.9857142857145;11713.859081897368;102647.8;51.3;32938.0;7331.9857142857145;11713.859081897368;102647.8;22000.0;22000.0;22000.0;0.0;22000.0;15200.0;22000.0;19600.0;3815.7568056677824;58800.0;15200.0;22000.0;19600.0;3815.7568056677824;58800.0;15200.0;22000.0;19600.0;3815.7568056677824;58800.0;15200.0;22000.0;19600.0;3815.7568056677824;58800.0;13;1
11265;930915;52788;12;4399;0;1993;1;14;13537;0;0;1973;2;16;87574.375;69.375;16.625;5.75;1.125;6.0;61.05;8831.5;2.27125;2.81375;122.375;2240.875;2271.625;21029.0;18324.0;25942.0;20662.8;2731.871583121481;7.0;14716.8;28077.4;20615.732;3019.466713223822;25.0;14716.8;41469.1;23153.089189189188;5623.574794647172;37.0;1000.0;41469.1;22198.17906976744;6652.642956340847;43.0;1000.0;41469.1;22198.17906976744;6652.642956340847;43.0;81.2;7618.0;3199.7333333333336;3932.914773209983;9599.2;81.2;7618.0;3735.0777777777776;3375.6009190134496;33615.7;81.2;11427.0;4019.0562500000005;3817.8509354467556;64304.90000000001;43.9;11427.0;4304.038095238096;3880.5602012436543;90384.8;43.9;11427.0;4304.038095238096;3880.5602012436543;90384.8;14.6;3700.0;1706.9;1740.5619514015198;6827.6;14.6;5520.0;2295.175;1959.4087882147853;36722.8;14.6;17920.0;3264.5619047619043;3906.972782407908;68555.79999999999;14.6;17920.0;3152.536363636363;3848.8507743710493;69355.79999999999;14.6;17920.0;3152.536363636363;3848.8507743710493;69355.79999999999;20;1
5428;930924;174744;24;7281;0;1993;4;14;6551;0;1;1948;8;12;85930.6;40.9;16.1;5.3;1.3;6.9;65.69;9015.4;2.138;2.646;111.7;2476.9;2586.3;58140.9;16865.9;58140.9;26301.042857142857;14376.613552903334;7.0;9239.8;58140.9;21443.41052631579;10869.472452183314;19.0;1000.0;105628.0;37485.45625;28302.653142986746;32.0;1000.0;105628.0;37485.45625;28302.653142986746;32.0;1000.0;105628.0;37485.45625;28302.653142986746;32.0;86.4;40175.0;13787.133333333333;22858.181831749727;41361.4;77.8;40175.0;8975.2;13667.241022867156;71801.6;77.8;47436.0;13374.849999999999;16348.357234046483;213997.59999999998;77.8;47436.0;13374.849999999999;16348.357234046483;213997.59999999998;77.8;47436.0;13374.849999999999;16348.357234046483;213997.59999999998;14.6;5000.0;3273.4;2283.80267098539;13093.6;14.6;8900.0;4359.70909090909;3337.2164980577886;47956.799999999996;14.6;52600.0;9741.05;13510.314466707772;155856.8;14.6;52600.0;9741.05;13510.314466707772;155856.8;14.6;52600.0;9741.05;13510.314466707772;155856.8;45;-1
10973;931013;154416;48;3217;2;1993;4;20;13182;0;1;1969;5;25;87574.375;69.375;16.625;5.75;1.125;6.0;61.05;8831.5;2.27125;2.81375;122.375;2240.875;2271.625;53402.7;20149.5;56032.7;42201.95;16339.295957467515;8.0;20149.5;70023.8;44006.81764705882;13620.054590439207;17.0;8897.0;81723.5;46715.8;20286.965558464442;32.0;8897.0;81723.5;46715.8;20286.965558464442;32.0;8897.0;81723.5;46715.8;20286.965558464442;32.0;167.2;23814.0;8970.8;10387.093678856147;35883.2;167.2;29103.0;9345.742857142857;12119.235177031202;65420.2;13.6;39098.0;11408.9875;13212.035232815822;182543.8;13.6;39098.0;11408.9875;13212.035232815822;182543.8;13.6;39098.0;11408.9875;13212.035232815822;182543.8;30.0;12644.0;4793.5;5475.127608862951;19174.0;30.0;15800.0;6653.4;6645.768247539181;66534.0;30.0;19200.0;8071.3125;6991.378011224492;129141.0;30.0;19200.0;8071.3125;6991.378011224492;129141.0;30.0;19200.0;8071.3125;6991.378011224492;129141.0;24;1
4894;931104;117024;24;4876;0;1993;6;20;5911;0;0;1935;10;3;87574.375;69.375;16.625;5.75;1.125;6.0;61.05;8831.5;2.27125;2.81375;122.375;2240.875;2271.625;53193.5;52985.2;76985.2;61054.63333333333;13796.668545824145;3.0;40555.1;76985.2;54099.455555555556;12417.833680851012;9.0;800.0;76985.2;44131.16923076923;19844.247591152816;13.0;800.0;76985.2;44131.16923076923;19844.247591152816;13.0;800.0;76985.2;44131.16923076923;19844.247591152816;13.0;208.3;29255.0;14731.65;20539.11854109129;29463.3;138.5;29255.0;14715.566666666668;15927.166796221689;88293.40000000001;45.1;29255.0;13154.833333333334;15275.433395897478;118393.5;45.1;29255.0;13154.833333333334;15275.433395897478;118393.5;45.1;29255.0;13154.833333333334;15275.433395897478;118393.5;24000.0;24000.0;24000.0;0.0;24000.0;16700.0;24000.0;21033.333333333332;3837.099599089569;63100.0;2100.0;24000.0;16300.0;9971.626413646538;65200.0;2100.0;24000.0;16300.0;9971.626413646538;65200.0;2100.0;24000.0;16300.0;9971.626413646538;65200.0;58;1
