loan_id;duration;frequency;account_year;account_month;account_day;disp_type;gender;birth_year;birth_month;birth_day;less499;less1999;less9999;more10000;cities;ratioUrb;salary;unemploymant95;unemploymant96;enterpreneurs;num_trans_m1;balance_m3_min;num_trans_m3;balance_m6_mean;num_trans_m6;balance_y1_min;num_trans_y1;balance_all_min;balance_all_mean;num_trans;credit_m1_min;credit_m3_min;credit_m6_min;credit_m6_mean;credit_m6_std;credit_y1_min;credit_y1_mean;credit_all_min;withdrawal_m1_min;withdrawal_m3_min;withdrawal_m3_std;withdrawal_m6_min;withdrawal_y1_min;age;status
5314;12;2;1993;3;22;0;1;1947;7;22;40.9;16.1;5.3;1.3;6.9;65.69;9015.4;2.138;2.646;111.7;1.0;11000.0;3.0;12250.0;4.0;1100.0;4.0;1100.0;12250.0;4.0;3300.0;3300.0;1100.0;5025.0;3774.8068383251966;1100.0;5025.0;1100.0;0.0;0.0;0.0;0.0;0.0;46;-1
5316;36;0;1993;2;13;0;0;1968;7;22;64.0909090909091;26.454545454545453;6.0;1.9090909090909092;7.818181818181818;62.945454545454545;8611.181818181818;2.3663636363636362;2.983636363636364;116.45454545454545;9.0;23795.0;29.0;52083.859459459454;37.0;700.0;37.0;700.0;52083.859459459454;37.0;127.5;127.5;2.9;13523.158823529411;13998.092225373912;2.9;13523.158823529411;2.9;14.6;14.6;14074.800607969735;14.6;14.6;25;1
6863;60;0;1993;2;8;0;0;1936;6;2;64.0909090909091;26.454545454545453;6.0;1.9090909090909092;7.818181818181818;62.945454545454545;8611.181818181818;2.3663636363636362;2.983636363636364;116.45454545454545;9.0;20272.8;17.0;30060.954166666666;24.0;800.0;24.0;800.0;30060.954166666666;24.0;105.6;80.4;48.6;5009.733333333334;6801.234716228965;48.6;5009.733333333334;48.6;66.0;66.0;5568.910214947163;66.0;66.0;57;1
5325;36;0;1993;1;30;0;1;1940;4;20;62.666666666666664;26.666666666666668;4.666666666666667;1.5833333333333333;5.5;52.44166666666666;9357.25;2.4641666666666664;2.8783333333333334;129.75;6.0;34129.2;16.0;42976.541666666664;24.0;1000.0;25.0;1000.0;41297.48;25.0;178.1;155.8;132.8;9942.483333333334;9922.610448395426;132.8;9254.600000000002;132.8;14.6;14.6;5105.815646408623;14.6;14.6;53;1
7240;60;2;1993;2;14;0;0;1978;9;7;0.0;0.0;0.0;1.0;1.0;100.0;12541.0;0.29;0.43;167.0;7.0;40960.1;17.0;59364.680769230756;26.0;600.0;27.0;600.0;57188.21111111111;27.0;182.8;182.8;77.1;22977.25833333333;24500.113288400724;77.1;21255.930769230767;77.1;30.0;30.0;14123.782432478914;30.0;30.0;15;1
6687;24;0;1993;5;12;0;1;1980;2;16;62.666666666666664;26.666666666666668;4.666666666666667;1.5833333333333333;5.5;52.44166666666666;9357.25;2.4641666666666664;2.8783333333333334;129.75;4.0;42707.0;12.0;46318.55294117647;17.0;500.0;17.0;500.0;46318.55294117647;17.0;148.8;127.9;51.3;7331.9857142857145;11713.859081897368;51.3;7331.9857142857145;51.3;22000.0;15200.0;3815.7568056677824;15200.0;15200.0;13;1
7284;12;0;1993;1;14;0;0;1973;2;16;69.375;16.625;5.75;1.125;6.0;61.05;8831.5;2.27125;2.81375;122.375;7.0;14716.8;25.0;23153.089189189188;37.0;1000.0;43.0;1000.0;22198.17906976744;43.0;81.2;81.2;81.2;4019.0562500000005;3817.8509354467556;43.9;4304.038095238096;43.9;14.6;14.6;1959.4087882147853;14.6;14.6;20;1
6111;24;0;1993;4;14;0;1;1948;8;12;40.9;16.1;5.3;1.3;6.9;65.69;9015.4;2.138;2.646;111.7;7.0;9239.8;19.0;37485.45625;32.0;1000.0;32.0;1000.0;37485.45625;32.0;86.4;77.8;77.8;13374.849999999999;16348.357234046483;77.8;13374.849999999999;77.8;14.6;14.6;3337.2164980577886;14.6;14.6;45;-1
7235;48;2;1993;4;20;0;1;1969;5;25;69.375;16.625;5.75;1.125;6.0;61.05;8831.5;2.27125;2.81375;122.375;8.0;20149.5;17.0;46715.8;32.0;8897.0;32.0;8897.0;46715.8;32.0;167.2;167.2;13.6;11408.9875;13212.035232815822;13.6;11408.9875;13.6;30.0;30.0;6645.768247539181;30.0;30.0;24;1
5997;24;0;1993;6;20;0;0;1935;10;3;69.375;16.625;5.75;1.125;6.0;61.05;8831.5;2.27125;2.81375;122.375;3.0;40555.1;9.0;44131.16923076923;13.0;800.0;13.0;800.0;44131.16923076923;13.0;208.3;138.5;45.1;13154.833333333334;15275.433395897478;45.1;13154.833333333334;45.1;24000.0;16700.0;3837.099599089569;2100.0;2100.0;58;1
7121;36;0;1993;1;17;0;0;1960;8;20;59.785714285714285;35.42857142857143;8.142857142857142;1.5;5.857142857142857;54.86428571428572;8728.5;3.2278571428571428;3.8285714285714287;113.35714285714286;6.0;29854.8;18.0;36239.13529411765;34.0;1100.0;45.0;1100.0;34272.21333333333;45.0;154.2;130.5;125.1;7920.333333333333;8367.573357511325;38.3;7551.738095238095;38.3;14.6;14.6;3263.612436280145;14.6;14.6;33;1
6077;24;0;1993;1;13;0;0;1970;4;28;64.0909090909091;26.454545454545453;6.0;1.9090909090909092;7.818181818181818;62.945454545454545;8611.181818181818;2.3663636363636362;2.983636363636364;116.45454545454545;5.0;51088.6;16.0;72354.01351351352;37.0;800.0;53.0;800.0;69954.57169811321;53.0;373.7;278.2;255.2;24401.483333333334;25890.421513645586;110.2;23558.29090909091;110.2;14.6;14.6;13683.659986502962;14.6;14.6;23;1
6228;60;2;1993;3;19;0;1;1940;12;2;62.666666666666664;26.666666666666668;4.666666666666667;1.5833333333333333;5.5;52.44166666666666;9357.25;2.4641666666666664;2.8783333333333334;129.75;12.0;12514.7;26.0;48659.99803921567;51.0;200.0;68.0;200.0;51760.01617647058;68.0;290.7;108.9;108.9;16689.88;15703.381389724887;42.4;16035.558064516128;42.4;30.0;30.0;9298.253293725964;30.0;30.0;53;-1
6356;36;2;1993;3;15;0;0;1971;2;10;64.0909090909091;26.454545454545453;6.0;1.9090909090909092;7.818181818181818;62.945454545454545;8611.181818181818;2.3663636363636362;2.983636363636364;116.45454545454545;4.0;27562.0;17.0;38904.394594594596;37.0;200.0;47.0;200.0;41562.32340425532;47.0;135.0;135.0;49.4;10211.242857142859;11635.290334595424;23.6;11706.59090909091;23.6;30.0;30.0;9897.465355056589;30.0;30.0;22;1
5523;36;1;1993;7;5;0;1;1950;10;20;59.785714285714285;35.42857142857143;8.142857142857142;1.5;5.857142857142857;54.86428571428572;8728.5;3.2278571428571428;3.8285714285714287;113.35714285714286;5.0;34578.2;12.0;37510.49473684211;19.0;600.0;19.0;600.0;37510.49473684211;19.0;189.2;189.2;48.0;7084.7;7697.681274844452;48.0;7084.7;48.0;100.0;100.0;6482.180703024767;100.0;100.0;43;1
6456;12;1;1993;4;14;0;1;1957;12;31;59.785714285714285;35.42857142857143;8.142857142857142;1.5;5.857142857142857;54.86428571428572;8728.5;3.2278571428571428;3.8285714285714287;113.35714285714286;5.0;37588.5;22.0;65828.11081081083;37.0;200.0;42.0;200.0;60382.08571428573;42.0;282.9;238.0;109.2;14463.41111111111;15300.36018572146;32.8;13031.063636363637;32.8;100.0;100.0;9405.942652081312;100.0;100.0;36;1
